label,cage.number,cage.treatment,pheno.treatment,replicate,dry.weight.withtube,dry.lipidfree.weight.withtube,empty tube weight,dry.weight,lipid.free.weight,lipid.weight
PA1-N-f1,PA1,L,N,1,0.49263,0.49198,0.48992,0.00271,0.00206,0.00065
PA1-N-f2,PA1,L,N,2,0.49425,0.49382,0.49171,0.00254,0.00211,0.00043
PA1-N-f3,PA1,L,N,3,0.48128,0.48069,0.47843,0.00285,0.00226,0.00059
PA1-F-f1,PA1,L,F,1,0.50045,0.50021,0.49814,0.00231,0.00207,0.00024
PA1-F-f2,PA1,L,F,2,0.47753,0.47736,0.47488,0.00265,0.00248,0.00017
PA1-F-f3,PA1,L,F,3,0.50412,0.50362,0.50135,0.00277,0.00227,0.0005
PA1-I-f1,PA1,L,I,1,0.49721,0.49706,0.49533,0.00188,0.00173,0.00015
PA1-I-f2,PA1,L,I,2,0.48293,0.48289,0.48064,0.00229,0.00225,4.00E-05
PA1-I-f3,PA1,L,I,3,0.49685,0.49658,0.49456,0.00229,0.00202,0.00027
PA1-S-f1,PA1,L,S,1,0.49759,0.49742,0.49516,0.00243,0.00226,0.00017
PA1-S-f2,PA1,L,S,2,0.49596,0.4957,0.49364,0.00232,0.00206,0.00026
PA1-S-f3,PA1,L,S,3,0.49622,0.49585,0.49343,0.00279,0.00242,0.00037
PA2-N-f1,PA2,L,N,1,0.47689,0.47646,0.47472,0.00217,0.00174,0.00043
PA2-N-f2,PA2,L,N,2,0.50054,0.49985,0.4981,0.00244,0.00175,0.00069
PA2-N-f3,PA2,L,N,3,0.49656,0.49601,0.49396,0.0026,0.00205,0.00055
PA2-F-f1,PA2,L,F,1,0.49306,0.49278,0.49072,0.00234,0.00206,0.00028
PA2-F-f2,PA2,L,F,2,0.45862,0.45835,0.45649,0.00213,0.00186,0.00027
PA2-F-f3,PA2,L,F,3,0.49209,0.49172,0.48995,0.00214,0.00177,0.00037
PA2-I-f1,PA2,L,I,1,0.46135,0.46144,0.45883,0.00261,0.00252,9.00E-05
PA2-I-f2,PA2,L,I,2,0.49331,0.49298,0.49006,0.00325,0.00292,0.00033
PA2-I-f3,PA2,L,I,3,0.45944,0.45944,0.4569,0.00254,0.00254,0
PA2-S-f1,PA2,L,S,1,0.47754,0.47732,0.47491,0.00263,0.00241,0.00022
PA2-S-f2,PA2,L,S,2,0.50016,0.49975,0.49741,0.00275,0.00234,0.00041
PA2-S-f3,PA2,L,S,3,0.49631,0.49602,0.49371,0.0026,0.00231,0.00029
PA3-N-f1,PA3,L,N,1,0.50086,0.50041,0.49799,0.00287,0.00242,0.00045
PA3-N-f2,PA3,L,N,2,0.49667,0.49685,0.49467,0.00218,0.002,0.00018
PA3-N-f3,PA3,L,N,3,0.46399,0.46346,0.46107,0.00292,0.00239,0.00053
PA3-F-f1,PA3,L,F,1,0.46702,0.46692,0.46475,0.00227,0.00217,1.00E-04
PA3-F-f2,PA3,L,F,2,0.47213,0.47195,0.46954,0.00259,0.00241,0.00018
PA3-F-f3,PA3,L,F,3,0.46663,0.46651,0.46432,0.00231,0.00219,0.00012
PA3-I-f1,PA3,L,I,1,0.50066,0.50048,0.49744,0.00322,0.00304,0.00018
PA3-I-f2,PA3,L,I,2,0.50302,0.50264,0.50076,0.00226,0.00188,0.00038
PA3-I-f3,PA3,L,I,3,0.49002,0.48982,0.48739,0.00263,0.00243,0.0002
PA3-S-f1,PA3,L,S,1,0.50073,0.50052,0.49826,0.00247,0.00226,0.00021
PA3-S-f2,PA3,L,S,2,0.49686,0.49669,0.49439,0.00247,0.0023,0.00017
PA3-S-f3,PA3,L,S,3,0.50399,0.50383,0.50169,0.0023,0.00214,0.00016
PA5-N-f1,PA5,L,N,1,0.45719,0.45681,0.45465,0.00254,0.00216,0.00038
PA5-N-f2,PA5,L,N,2,0.46154,0.46112,0.45913,0.00241,0.00199,0.00042
PA5-N-f3,PA5,L,N,3,0.49226,0.49189,0.48973,0.00253,0.00216,0.00037
PA5-F-f1,PA5,L,F,1,0.50021,0.50008,0.49769,0.00252,0.00239,0.00013
PA5-F-f2,PA5,L,F,2,0.46401,0.46405,0.46175,0.0023,0.00223,7.00E-05
PA5-F-f3,PA5,L,F,3,0.46216,0.46201,0.45966,0.0025,0.00235,0.00015
PA5-I-f1,PA5,L,I,1,0.50028,0.50013,0.49803,0.00225,0.0021,0.00015
PA5-I-f2,PA5,L,I,2,0.49367,0.49344,0.49117,0.0025,0.00227,0.00023
PA5-I-f3,PA5,L,I,3,0.46687,0.46664,0.46448,0.00239,0.00216,0.00023
PA5-S-f1,PA5,L,S,1,0.45843,0.45838,0.45612,0.00231,0.00226,5.00E-05
PA5-S-f2,PA5,L,S,2,0.46162,0.4616,0.45911,0.00251,0.00249,2.00E-05
PA5-S-f3,PA5,L,S,3,0.50009,0.49973,0.49744,0.00265,0.00229,0.00036
E2-N-f1,E2,F,N,1,0.47894,0.47831,0.47589,0.00305,0.00242,0.00063
E2-N-f2,E2,F,N,2,0.47231,0.47194,0.46963,0.00268,0.00231,0.00037
E2-N-f3,E2,F,N,3,0.49671,0.49603,0.49355,0.00316,0.00248,0.00068
E2-F-f1,E2,F,F,1,0.50027,0.49984,0.49723,0.00304,0.00261,0.00043
E2-F-f2,E2,F,F,2,0.49866,0.49839,0.49581,0.00285,0.00258,0.00027
E2-F-f3,E2,F,F,3,0.49205,0.49161,0.48898,0.00307,0.00263,0.00044
E2-I-f1,E2,F,I,1,0.48213,0.48205,0.47958,0.00255,0.00247,8.00E-05
E2-I-f2,E2,F,I,2,0.49648,0.49606,0.49352,0.00296,0.00254,0.00042
E2-I-f3,E2,F,I,3,0.50457,0.50415,0.50162,0.00295,0.00253,0.00042
E2-S-f1,E2,F,S,1,0.46311,0.46303,0.46067,0.00244,0.00236,8.00E-05
E2-S-f2,E2,F,S,2,0.46331,0.46329,0.46065,0.00266,0.00264,2.00E-05
E2-S-f3,E2,F,S,3,0.47853,0.47846,0.47601,0.00252,0.00245,7.00E-05
E4-N-f1,E4,F,N,1,0.49838,0.49778,0.49563,0.00275,0.00215,0.0006
E4-N-f2,E4,F,N,2,0.45848,0.45818,0.45581,0.00267,0.00237,0.0003
E4-N-f3,E4,F,N,3,0.45812,0.45779,0.45529,0.00283,0.0025,0.00033
E4-F-f1,E4,F,F,1,0.46723,0.46704,0.46465,0.00258,0.00239,0.00019
E4-F-f2,E4,F,F,2,0.45998,0.45971,0.45724,0.00274,0.00247,0.00027
E4-F-f3,E4,F,F,3,0.46796,0.46765,0.46482,0.00314,0.00283,0.00031
E4-I-f1,E4,F,I,1,0.46029,0.46002,0.45765,0.00264,0.00237,0.00027
E4-I-f2,E4,F,I,2,0.46111,0.46099,0.45855,0.00256,0.00244,0.00012
E4-I-f3,E4,F,I,3,0.49589,0.49564,0.49342,0.00247,0.00222,0.00025
E4-S-f1,E4,F,S,1,0.46588,0.46528,0.46283,0.00305,0.00245,0.0006
E4-S-f2,E4,F,S,2,0.48239,0.48205,0.47971,0.00268,0.00234,0.00034
E4-S-f3,E4,F,S,3,0.46208,0.46179,0.45958,0.0025,0.00221,0.00029
E5-N-f1,E5,F,N,1,0.46168,0.46119,0.45857,0.00311,0.00262,0.00049
E5-N-f2,E5,F,N,2,0.50098,0.50057,0.49829,0.00269,0.00228,0.00041
E5-N-f3,E5,F,N,3,0.46141,0.46112,0.45897,0.00244,0.00215,0.00029
E5-F-f1,E5,F,F,1,0.48436,0.4843,0.48157,0.00279,0.00273,6.00E-05
E5-F-f2,E5,F,F,2,0.46339,0.46313,0.46044,0.00295,0.00269,0.00026
E5-F-f3,E5,F,F,3,0.46243,0.46232,0.45963,0.0028,0.00269,0.00011
E5-I-f1,E5,F,I,1,0.46526,0.46515,0.46281,0.00245,0.00234,0.00011
E5-I-f2,E5,F,I,2,0.46145,0.46126,0.45889,0.00256,0.00237,0.00019
E5-I-f3,E5,F,I,3,0.46372,0.46359,0.46089,0.00283,0.0027,0.00013
E5-S-f1,E5,F,S,1,0.46457,0.46447,0.46174,0.00283,0.00273,1.00E-04
E5-S-f2,E5,F,S,2,0.50099,0.50064,0.49774,0.00325,0.0029,0.00035
E5-S-f3,E5,F,S,3,0.46254,0.46261,0.45984,0.00277,0.0027,7.00E-05
E6-N-f1,E6,F,N,1,0.47465,0.47437,0.47211,0.00254,0.00226,0.00028
E6-N-f2,E6,F,N,2,0.46185,0.46153,0.45964,0.00221,0.00189,0.00032
E6-N-f3,E6,F,N,3,0.45712,0.45664,0.45484,0.00228,0.0018,0.00048
E6-F-f1,E6,F,F,1,0.45704,0.45693,0.45492,0.00212,0.00201,0.00011
E6-F-f2,E6,F,F,2,0.46368,0.46359,0.46157,0.00211,0.00202,9.00E-05
E6-F-f3,E6,F,F,3,0.49963,0.49952,0.49723,0.0024,0.00229,0.00011
E6-I-f1,E6,F,I,1,0.47218,0.47208,0.46952,0.00266,0.00256,1.00E-04
E6-I-f2,E6,F,I,2,0.46231,0.46196,0.45974,0.00257,0.00222,0.00035
E6-I-f3,E6,F,I,3,0.46138,0.46107,0.45974,0.00164,0.00133,0.00031
E6-S-f1,E6,F,S,1,0.46349,0.46326,0.46089,0.0026,0.00237,0.00023
E6-S-f2,E6,F,S,2,0.46273,0.46255,0.46023,0.0025,0.00232,0.00018
E6-S-f3,E6,F,S,3,0.50052,0.50029,0.49804,0.00248,0.00225,0.00023
E7-N-f1,E7,F,N,1,0.49607,0.49532,0.49344,0.00263,0.00188,0.00075
E7-N-f2,E7,F,N,2,0.46501,0.46468,0.46273,0.00228,0.00195,0.00033
E7-N-f3,E7,F,N,3,0.48055,0.48013,0.47819,0.00236,0.00194,0.00042
E7-F-f1,E7,F,F,1,0.45724,0.45714,0.45494,0.0023,0.0022,1.00E-04
E7-F-f2,E7,F,F,2,0.47608,0.47628,0.47402,0.00226,0.00206,0.0002
E7-F-f3,E7,F,F,3,0.45998,0.45994,0.45768,0.0023,0.00226,4.00E-05
E7-I-f1,E7,F,I,1,0.46148,0.4614,0.45886,0.00262,0.00254,8.00E-05
E7-I-f2,E7,F,I,2,0.50357,0.50339,0.50135,0.00222,0.00204,0.00018
E7-I-f3,E7,F,I,3,0.47727,0.47729,0.47493,0.00236,0.00234,2.00E-05
E7-S-f1,E7,F,S,1,0.48971,0.48969,0.48753,0.00218,0.00216,2.00E-05
E7-S-f2,E7,F,S,2,0.50059,0.50013,0.49814,0.00245,0.00199,0.00046
E7-S-f3,E7,F,S,3,0.49031,0.46032,0.45769,0.003262,0.00263,0.002999
E9-N-f1,E9,F,N,1,0.48453,0.48417,0.48181,0.00272,0.00236,0.00036
E9-N-f2,E9,F,N,2,0.49652,0.49604,0.49352,0.003,0.00252,0.00048
E9-N-f3,E9,F,N,3,0.49846,0.49785,0.49521,0.00325,0.00264,0.00061
E9-F-f1,E9,F,F,1,0.49232,0.49228,0.49014,0.00218,0.00214,4.00E-05
E9-F-f2,E9,F,F,2,0.50068,0.50051,0.49825,0.00243,0.00226,0.00017
E9-F-f3,E9,F,F,3,0.50013,0.49989,0.49799,0.00214,0.0019,0.00024
E9-I-f1,E9,F,I,1,0.46591,0.46562,0.46305,0.00286,0.00257,0.00029
E9-I-f2,E9,F,I,2,0.49215,0.49188,0.48997,0.00218,0.00191,0.00027
E9-I-f3,E9,F,I,3,0.49716,0.49685,0.49441,0.00275,0.00244,0.00031
E9-S-f1,E9,F,S,1,0.45757,0.45752,0.45522,0.00235,0.0023,5.00E-05
E9-S-f2,E9,F,S,2,0.45881,0.45884,0.45591,0.00293,0.0029,3.00E-05
E9-S-f3,E9,F,S,3,0.46079,0.46064,0.45788,0.00291,0.00276,0.00015