label,cage.number,cage.treatment,pheno.treatment,replicate,vial.count,0,104,248,348,462,582,716,825,939,1060,1201,1316,1492,1537
PA1-N-D1,PA1,L,N,1,10,0,0,0,0,0,1,1,3,3,5,10,10,10,10
PA1-N-D2,PA1,L,N,2,10,0,0,0,0,0,0,1,3,5,9,10,10,10,10
PA1-N-D3,PA1,L,N,3,10,0,0,0,0,0,1,2,2,4,5,8,8,8,10
PA1-F-D1,PA1,L,F,1,10,0,0,0,0,0,0,2,5,7,10,10,10,10,10
PA1-F-D2,PA1,L,F,2,8,0,0,1,1,2,2,4,6,7,8,8,8,8,8
PA1-F-D3,PA1,L,F,3,7,0,0,0,0,1,1,3,7,7,7,7,7,7,7
PA1-I-D1,PA1,L,I,1,10,0,0,0,1,1,3,5,7,10,10,10,10,10,10
PA1-I-D2,PA1,L,I,2,8,0,0,0,1,2,4,5,6,8,8,8,8,8,8
PA1-I-D3,PA1,L,I,3,9,0,0,0,0,0,3,5,7,7,9,9,9,9,9
PA1-S-D1,PA1,L,S,1,10,0,0,0,0,2,4,6,8,10,10,10,10,10,10
PA1-S-D2,PA1,L,S,2,8,0,0,1,2,3,4,5,8,8,8,8,8,8,8
PA1-S-D3,PA1,L,S,3,8,0,0,0,0,0,2,6,7,7,8,8,8,8,8
PA2-N-D1,PA2,L,N,1,10,0,0,0,0,0,2,5,7,9,10,10,10,10,10
PA2-N-D2,PA2,L,N,2,9,0,0,0,0,0,0,3,7,7,8,9,9,9,9
PA2-N-D3,PA2,L,N,3,10,0,0,0,0,0,0,2,3,4,6,9,10,10,10
PA2-F-D1,PA2,L,F,1,8,0,0,0,0,0,2,4,6,6,8,8,8,8,8
PA2-F-D2,PA2,L,F,2,10,0,0,0,0,2,5,7,7,8,10,10,10,10,10
PA2-F-D3,PA2,L,F,3,10,0,0,1,1,2,4,6,9,10,10,10,10,10,10
PA2-I-D1,PA2,L,I,1,9,0,0,1,1,2,5,7,7,8,9,9,9,9,9
PA2-I-D2,PA2,L,I,2,9,0,0,1,1,2,3,6,7,9,9,9,9,9,9
PA2-I-D3,PA2,L,I,3,7,0,0,0,1,1,3,4,5,7,7,7,7,7,7
PA2-S-D1,PA2,L,S,1,9,0,0,0,0,0,2,5,8,9,9,9,9,9,9
PA2-S-D2,PA2,L,S,2,9,0,0,0,0,1,2,4,8,9,9,9,9,9,9
PA2-S-D3,PA2,L,S,3,8,0,0,1,1,1,2,4,3,8,8,8,8,8,8
PA3-N-D1,PA3,L,N,1,10,0,0,0,0,0,0,3,3,7,10,10,10,10,10
PA3-N-D2,PA3,L,N,2,9,0,0,0,1,1,2,3,4,7,9,9,9,9,9
PA3-N-D3,PA3,L,N,3,9,0,0,0,0,0,1,3,6,7,9,9,9,9,9
PA3-F-D1,PA3,L,F,1,10,0,0,0,0,3,3,9,10,10,10,10,10,10,10
PA3-F-D2,PA3,L,F,2,10,0,0,0,0,1,2,5,8,10,10,10,10,10,10
PA3-F-D3,PA3,L,F,3,10,0,0,0,1,2,5,6,7,9,10,10,10,10,10
PA3-I-D1,PA3,L,I,1,9,0,0,0,2,4,6,7,8,8,9,9,9,9,9
PA3-I-D2,PA3,L,I,2,10,0,1,1,1,2,3,6,9,9,10,10,10,10,10
PA3-I-D3,PA3,L,I,3,9,0,0,0,1,3,4,6,7,8,9,9,9,9,9
PA3-S-D1,PA3,L,S,1,10,0,0,0,0,1,4,5,6,8,9,10,10,10,10
PA3-S-D2,PA3,L,S,2,10,0,0,0,0,2,3,4,5,7,9,10,10,10,10
PA3-S-D3,PA3,L,S,3,10,0,0,1,1,1,3,3,8,10,10,10,10,10,10
PA5-N-D1,PA5,L,N,1,10,0,0,0,0,0,0,1,1,3,7,10,10,10,10
PA5-N-D2,PA5,L,N,2,10,0,0,0,0,1,1,3,4,5,10,10,10,10,10
PA5-N-D3,PA5,L,N,3,9,0,0,0,0,0,1,2,4,7,8,8,8,9,9
PA5-F-D1,PA5,L,F,1,10,0,0,0,0,0,2,7,9,10,10,10,10,10,10
PA5-F-D2,PA5,L,F,2,9,0,0,0,1,2,3,5,7,8,8,9,9,9,9
PA5-F-D3,PA5,L,F,3,7,0,0,0,0,0,0,2,5,6,7,7,7,7,7
PA5-I-D1,PA5,L,I,1,9,0,0,0,0,0,3,4,5,9,9,9,9,9,9
PA5-I-D2,PA5,L,I,2,6,0,0,0,0,1,1,3,3,5,6,6,6,6,6
PA5-I-D3,PA5,L,I,3,9,0,0,0,0,0,0,2,5,7,9,9,9,9,9
PA5-S-D1,PA5,L,S,1,8,0,0,0,0,1,3,7,7,8,8,8,8,8,8
PA5-S-D2,PA5,L,S,2,8,0,0,0,0,1,5,5,6,8,8,8,8,8,8
PA5-S-D3,PA5,L,S,3,8,0,0,0,0,2,2,4,8,8,8,8,8,8,8
E2-N-D1,E2,F,N,1,9,0,0,0,1,1,3,4,7,9,9,9,9,9,9
E2-N-D2,E2,F,N,2,10,0,0,0,0,0,1,1,6,7,8,10,10,10,10
E2-N-D3,E2,F,N,3,10,0,0,0,0,0,0,2,5,9,9,10,10,10,10
E2-F-D1,E2,F,F,1,10,0,0,0,0,1,2,5,9,10,10,10,10,10,10
E2-F-D2,E2,F,F,2,9,0,0,0,0,0,2,6,7,9,9,9,9,9,9
E2-F-D3,E2,F,F,3,10,0,0,0,0,0,0,3,5,8,10,10,10,10,10
E2-I-D1,E2,F,I,1,9,0,0,1,1,2,3,5,5,7,9,9,9,9,9
E2-I-D2,E2,F,I,2,9,0,0,0,0,1,3,7,7,9,9,9,9,9,9
E2-I-D3,E2,F,I,3,10,0,0,0,0,0,1,3,6,8,8,10,10,10,10
E2-S-D1,E2,F,S,1,9,0,0,0,1,1,2,4,5,8,9,9,9,9,9
E2-S-D2,E2,F,S,2,9,0,0,0,1,1,2,5,7,8,9,9,9,9,9
E2-S-D3,E2,F,S,3,10,0,0,1,3,3,4,7,9,10,10,10,10,10,10
E4-N-D1,E4,F,N,1,9,0,0,0,0,0,0,1,3,5,8,9,9,9,9
E4-N-D2,E4,F,N,2,9,0,0,0,0,1,1,1,3,3,7,9,9,9,9
E4-N-D3,E4,F,N,3,10,0,0,0,0,1,3,5,7,9,10,10,10,10,10
E4-F-D1,E4,F,F,1,10,0,0,0,0,1,4,6,8,10,10,10,10,10,10
E4-F-D2,E4,F,F,2,10,0,0,0,0,1,2,4,7,7,9,10,10,10,10
E4-F-D3,E4,F,F,3,10,0,0,0,0,1,4,6,10,10,10,10,10,10,10
E4-I-D1,E4,F,I,1,9,0,0,0,0,0,0,2,4,5,9,9,9,9,9
E4-I-D2,E4,F,I,2,10,0,0,0,0,0,1,6,8,10,10,10,10,10,10
E4-I-D3,E4,F,I,3,10,0,0,0,0,0,3,5,7,7,10,10,10,10,10
E4-S-D1,E4,F,S,1,9,0,0,0,1,2,2,7,7,8,9,9,9,9,9
E4-S-D2,E4,F,S,2,8,0,0,0,0,1,3,6,8,8,8,8,8,8,8
E4-S-D3,E4,F,S,3,9,0,0,0,0,0,2,7,7,8,9,9,9,9,9
E5-N-D1,E5,F,N,1,10,0,0,0,0,1,1,7,9,9,10,10,10,10,10
E5-N-D2,E5,F,N,2,10,0,0,0,0,0,0,4,4,7,9,10,10,10,10
E5-N-D3,E5,F,N,3,9,0,0,0,0,0,0,3,6,8,9,9,9,9,9
E5-F-D1,E5,F,F,1,8,0,0,0,0,0,1,3,5,7,8,8,8,8,8
E5-F-D2,E5,F,F,2,10,0,0,2,2,3,6,9,10,10,10,10,10,10,10
E5-F-D3,E5,F,F,3,10,0,0,0,0,0,1,3,5,8,9,9,10,10,10
E5-I-D1,E5,F,I,1,9,0,0,0,0,1,5,6,7,7,9,9,9,9,9
E5-I-D2,E5,F,I,2,10,0,0,0,1,1,3,6,8,10,10,10,10,10,10
E5-I-D3,E5,F,I,3,10,0,0,0,0,1,4,7,7,10,10,10,10,10,10
E5-S-D1,E5,F,S,1,8,0,0,1,1,2,4,7,8,8,8,8,8,8,8
E5-S-D2,E5,F,S,2,10,0,0,2,3,3,6,9,10,10,10,10,10,10,10
E5-S-D3,E5,F,S,3,9,0,0,0,2,3,5,7,9,9,9,9,9,9,9
E6-N-D1,E6,F,N,1,8,0,0,0,0,2,4,7,7,8,8,8,8,8,8
E6-N-D2,E6,F,N,2,8,0,0,0,1,1,3,4,7,7,8,8,8,8,8
E6-N-D3,E6,F,N,3,8,0,0,0,0,1,3,7,7,8,8,8,8,8,8
E6-F-D1,E6,F,F,1,8,0,0,0,1,1,2,5,5,6,7,8,8,8,8
E6-F-D2,E6,F,F,2,7,0,0,0,0,0,1,1,3,7,7,7,7,7,7
E6-F-D3,E6,F,F,3,7,0,0,0,0,0,1,2,4,7,7,7,7,7,7
E6-I-D1,E6,F,I,1,8,0,0,0,1,1,4,4,7,8,8,8,8,8,8
E6-I-D2,E6,F,I,2,8,1,1,1,2,2,4,6,6,7,8,8,8,8,8
E6-I-D3,E6,F,I,3,9,0,0,1,2,4,6,9,9,9,9,9,9,9,9
E6-S-D1,E6,F,S,1,7,0,0,0,1,2,4,6,7,7,7,7,7,7,7
E6-S-D2,E6,F,S,2,10,0,0,0,1,1,1,5,8,10,10,10,10,10,10
E6-S-D3,E6,F,S,3,8,0,0,0,1,3,5,5,8,8,8,8,8,8,8
E7-N-D1,E7,F,N,1,8,0,0,0,0,1,2,5,5,7,8,8,8,8,8
E7-N-D2,E7,F,N,2,8,0,0,0,0,0,1,3,4,7,7,8,8,8,8
E7-N-D3,E7,F,N,3,9,0,0,0,0,0,1,5,7,8,9,9,9,9,9
E7-F-D1,E7,F,F,1,9,0,0,1,1,1,2,3,8,8,9,9,9,9,9
E7-F-D2,E7,F,F,2,9,0,0,0,0,0,4,8,8,9,9,9,9,9,9
E7-F-D3,E7,F,F,3,9,0,0,0,0,0,3,6,8,8,9,9,9,9,9
E7-I-D1,E7,F,I,1,9,0,0,1,3,3,3,7,7,7,9,9,9,9,9
E7-I-D2,E7,F,I,2,10,0,0,1,1,2,5,7,8,9,10,10,10,10,10
E7-I-D3,E7,F,I,3,10,0,0,0,2,2,5,7,9,10,10,10,10,10,10
E7-S-D1,E7,F,S,1,9,0,0,0,0,2,5,5,8,9,9,9,9,9,9
E7-S-D2,E7,F,S,2,9,0,0,0,0,0,1,2,5,8,8,9,9,9,9
E7-S-D3,E7,F,S,3,8,0,0,0,0,1,1,3,4,7,8,8,8,8,8
E9-N-D1,E9,F,N,1,8,0,0,0,0,1,2,4,5,8,8,8,8,8,8
E9-N-D2,E9,F,N,2,10,0,0,0,0,0,2,4,6,10,10,10,10,10,10
E9-N-D3,E9,F,N,3,10,0,0,0,0,1,3,7,8,10,10,10,10,10,10
E9-F-D1,E9,F,F,1,8,0,0,0,1,1,2,2,5,6,8,8,8,8,8
E9-F-D2,E9,F,F,2,7,0,0,0,0,0,1,2,5,6,7,7,7,7,7
E9-F-D3,E9,F,F,3,10,0,0,0,0,1,4,7,7,10,10,10,10,10,10
E9-I-D1,E9,F,I,1,9,0,0,0,0,1,3,6,7,8,8,9,9,9,9
E9-I-D2,E9,F,I,2,10,0,0,0,1,3,4,8,9,9,10,10,10,10,10
E9-I-D3,E9,F,I,3,10,0,0,0,0,0,0,2,6,7,10,10,10,10,10
E9-S-D1,E9,F,S,1,10,0,0,0,1,2,3,4,9,10,10,10,10,10,10
E9-S-D2,E9,F,S,2,9,0,0,0,0,2,2,5,7,8,9,9,9,9,9
E9-S-D3,E9,F,S,3,10,0,0,0,0,2,4,6,7,9,10,10,10,10,10