label,cage.number,cage.treatment,pheno.treatment,1.1,1.2,1.3,1.sum,2.1,2.2,2.3,2.sum,3.1,3.2,3.3,3.sum,4.1,4.2,4.3,4.sum,5.1,5.2,5.3,5.sum,6.1,6.2,6.3,6.sum,7.1,7.2,7.3,7.sum,8.1,8.2,8.3,8.sum,9.1,9.2,9.3,9.sum,10.1,10.2,10.3,10.sum,11.1,11.2,11.3,11.sum,12.1,12.1,12.3,12.sum,13.1,13.2,13.3,13.sum,14.1,14.2,14.3,14.sum,15.1,15.2,15.3,15.sum,16.1,16.2,16.3,16.sum,17.1,17.2,17.3,17.sum,18.1,18.2,18.3,18.sum,19.1,19.2,19.3,19.sum,20.1,20.2,20.3,20.sum
PA1-N,PA1,L,N,2,7,2,11,1,3,2,6,1,5,3,9,2,6,4,12,1,4,3,8,0,5,4,9,1,8,4,13,2,5,2,9,3,8,5,16,3,7,2,12,3,8,3,14,3,6,3,12,2,3,2,7,1,7,2,10,2,3,2,7,1,5,2,8,2,6,4,12,1,5,2,8,2,6,2,10,3,6,2,11
PA1-F,PA1,L,F,3,7,4,14,2,2,2,6,3,7,5,15,2,7,2,11,2,10,4,16,2,10,2,14,2,5,4,11,5,9,6,20,5,9,4,18,5,6,3,14,3,8,3,14,3,8,3,14,3,6,2,11,2,4,2,8,2,7,4,13,3,7,5,15,2,2,2,6,1,7,4,12,5,8,5,18,2,6,4,12
PA1-I,PA1,L,I,2,7,4,13,2,8,4,14,3,8,4,15,3,6,2,11,2,9,5,16,3,6,4,13,6,9,5,20,3,5,3,11,2,6,2,10,2,4,3,9,4,5,4,13,3,7,2,12,1,5,4,10,2,6,2,10,2,5,2,9,1,4,2,7,2,5,2,9,1,5,3,9,2,6,3,11,0,6,4,10
PA1-S,PA1,L,S,2,7,2,11,1,7,3,11,2,7,2,11,0,7,5,12,1,4,2,7,6,9,5,20,3,7,4,14,2,8,5,15,1,3,2,6,2,7,5,14,3,9,6,18,1,4,2,7,1,6,4,11,2,5,3,10,3,7,4,14,5,9,4,18,2,6,5,13,2,4,3,9,1,6,3,10,3,6,4,13
PA2-N,PA2,L,N,2,9,3,14,2,7,3,12,1,5,5,11,3,7,3,13,5,8,4,17,2,2,2,6,3,5,3,11,1,2,2,5,2,6,4,12,4,5,4,13,4,8,5,17,1,6,2,9,3,6,5,14,2,4,3,9,2,2,3,7,1,5,4,10,2,4,3,9,2,3,3,8,2,8,6,16,2,6,3,11
PA2-F,PA2,L,F,2,5,3,10,2,9,4,15,2,5,3,10,0,6,4,10,2,6,5,13,2,5,4,11,2,7,5,14,4,6,4,14,1,5,4,10,5,9,5,19,4,8,5,17,2,7,4,13,3,7,5,15,7,9,6,22,2,6,4,12,2,4,3,9,2,4,3,9,2,4,3,9,2,2,3,7,3,6,3,12
PA2-I,PA2,L,I,4,8,3,15,1,3,3,7,2,6,4,12,3,7,3,13,1,3,2,6,2,7,4,13,2,5,4,11,2,5,2,9,1,5,2,8,3,4,3,10,4,9,3,16,1,3,2,6,1,4,2,7,1,1,2,4,2,6,3,11,3,9,4,16,2,7,2,11,1,6,3,10,1,5,4,10,4,5,2,11
PA2-S,PA2,L,S,4,9,5,18,3,4,3,10,1,6,5,12,1,7,2,10,4,6,3,13,2,6,4,12,2,7,5,14,4,7,2,13,2,7,4,13,3,8,6,17,1,6,4,11,2,5,4,11,3,6,6,15,2,7,5,14,2,5,5,12,3,5,6,14,2,5,4,11,3,6,5,14,3,6,5,14,2,7,4,13
PA3-N,PA3,L,N,2,5,4,11,1,5,4,10,2,6,3,11,1,4,2,7,1,6,4,11,3,6,4,13,2,6,3,11,1,5,3,9,1,4,3,8,1,7,4,12,1,4,3,8,1,5,4,10,1,4,2,7,4,7,2,13,3,6,5,14,1,5,3,9,2,4,2,8,2,6,3,11,4,8,3,15,1,3,2,6
PA3-F,PA3,L,F,3,5,2,10,1,5,2,8,3,7,4,14,1,3,2,6,1,6,2,9,2,4,3,9,2,8,4,14,2,4,4,10,3,8,3,14,3,5,2,10,3,4,4,11,2,6,5,13,5,9,6,20,2,5,6,13,2,6,3,11,4,7,5,16,3,6,6,15,3,4,2,9,3,4,5,12,3,4,4,11
PA3-I,PA3,L,I,2,5,3,10,1,2,1,4,1,5,4,10,4,8,6,18,3,7,3,13,1,6,2,9,1,1,1,3,2,8,4,14,2,6,3,11,4,8,4,16,1,6,4,11,3,6,4,13,1,4,4,9,1,5,3,9,2,6,4,12,1,4,3,8,1,6,3,10,2,7,4,13,1,3,2,6,1,5,3,9
PA3-S,PA3,L,S,2,1,2,5,2,2,2,6,2,4,2,8,1,4,3,8,2,5,3,10,1,4,2,7,0,3,2,5,1,2,1,4,3,4,2,9,1,4,2,7,1,5,3,9,1,4,2,7,2,7,4,13,2,6,2,10,1,4,2,7,2,6,3,11,1,5,2,8,2,5,3,10,1,2,1,4,1,6,3,10
PA5-N,PA5,L,N,4,8,3,15,1,5,4,10,5,8,4,17,4,8,4,16,1,4,3,8,1,3,2,6,1,8,4,13,1,4,3,8,2,7,5,14,3,3,1,7,1,5,4,10,4,8,3,15,2,4,3,9,4,6,5,15,4,6,5,15,5,8,3,16,2,6,5,13,3,6,4,13,2,5,4,11,1,4,2,7
PA5-F,PA5,L,F,2,5,3,10,1,5,4,10,6,9,3,18,2,5,4,11,2,6,2,10,2,8,3,13,4,6,2,12,1,2,2,5,2,6,4,12,2,5,2,9,4,8,5,17,3,6,4,13,1,5,3,9,3,5,3,11,1,2,2,5,1,5,4,10,2,5,3,10,2,7,4,13,3,9,3,15,1,5,4,10
PA5-I,PA5,L,I,1,4,3,8,3,6,2,11,1,4,2,7,2,2,3,7,2,6,3,11,3,5,2,10,2,5,2,9,3,5,4,12,1,2,2,5,3,8,3,14,3,8,4,15,2,5,3,10,4,8,4,16,1,2,1,4,1,5,3,9,2,4,3,9,4,7,5,16,3,8,5,16,3,5,4,12,1,2,1,4
PA5-S,PA5,L,S,4,8,4,16,3,9,2,14,2,5,4,11,1,6,3,10,2,6,2,10,1,5,2,8,1,6,4,11,2,6,3,11,2,5,3,10,2,5,2,9,5,9,2,16,2,6,2,10,1,5,4,10,1,7,3,11,2,5,4,11,5,6,4,15,3,7,4,14,2,5,2,9,2,6,3,11,2,5,3,10
E2-N,E2,F,N,5,7,3,15,5,8,4,17,6,7,4,17,6,9,4,19,1,4,2,7,1,4,2,7,2,4,3,9,3,6,5,14,5,9,4,18,3,8,4,15,3,8,4,15,3,6,5,14,1,5,2,8,2,7,4,13,2,5,3,10,1,3,2,6,2,5,3,10,1,7,3,11,3,6,4,13,3,8,4,15
E2-F,E2,F,F,2,6,3,11,2,7,2,11,2,6,3,11,2,6,3,11,2,6,3,11,2,5,3,10,2,4,2,8,1,6,3,10,1,3,2,6,4,6,3,13,2,6,4,12,2,4,2,8,1,4,3,8,1,6,3,10,2,7,2,11,1,4,2,7,1,3,2,6,2,5,3,10,1,1,2,4,1,3,2,6
E2-I,E2,F,I,2,7,3,12,2,6,4,12,2,8,5,15,3,6,3,12,2,9,5,16,2,8,4,14,2,4,2,8,2,5,2,9,2,7,4,13,1,6,2,9,1,7,2,10,2,6,3,11,3,7,2,12,2,5,3,10,1,3,2,6,3,6,2,11,2,7,2,11,2,4,2,8,1,2,1,4,2,5,3,10
E2-S,E2,F,S,1,6,2,9,1,4,3,8,2,4,4,10,1,2,1,4,2,4,2,8,4,6,4,14,1,4,3,8,2,6,4,12,2,4,2,8,2,5,4,11,1,4,3,8,3,6,4,13,3,6,3,12,3,6,4,13,2,5,2,9,3,5,4,12,1,5,2,8,2,3,2,7,2,5,2,9,4,6,3,13
E4-N,E4,F,N,2,4,3,9,2,6,3,11,2,4,4,10,4,8,4,16,2,6,4,12,3,6,3,12,4,7,3,14,2,6,3,11,2,4,2,8,3,5,3,11,2,8,3,13,2,7,5,14,2,4,2,8,4,7,3,14,4,6,2,12,2,7,2,11,1,3,2,6,2,3,3,8,2,4,3,9,3,4,2,9
E4-F,E4,F,F,3,6,3,12,2,6,3,11,3,6,2,11,1,4,2,7,3,5,2,10,4,6,2,12,1,7,4,12,1,3,3,7,1,6,3,10,2,6,4,12,1,5,2,8,2,5,3,10,5,7,4,16,4,8,4,16,2,4,3,9,6,8,5,19,1,1,1,3,2,5,2,9,2,5,3,10,1,4,3,8
E4-I,E4,F,I,1,4,3,8,1,4,3,8,2,4,3,9,3,7,5,15,5,9,4,18,1,7,3,11,6,9,5,20,2,4,3,9,6,9,5,20,3,5,3,11,4,5,3,12,3,8,3,14,1,4,3,8,4,9,4,17,1,4,3,8,2,4,3,9,2,6,3,11,1,4,4,9,2,9,3,14,2,4,2,8
E4-S,E4,F,S,3,7,2,12,2,4,3,9,2,6,4,12,2,7,3,12,3,8,3,14,4,9,4,17,2,8,2,12,1,8,1,10,2,6,2,10,1,6,4,11,3,9,3,15,1,7,2,10,2,5,3,10,1,5,3,9,1,5,2,8,1,4,2,7,2,5,3,10,1,5,3,9,3,4,2,9,2,5,4,11
E5-N,E5,F,N,3,5,3,11,2,4,2,8,3,7,2,12,1,3,1,5,2,3,2,7,2,7,4,13,2,4,2,8,3,6,3,12,2,5,2,9,1,7,4,12,1,4,3,8,3,6,3,12,1,5,2,8,3,7,2,12,5,9,4,18,1,2,1,4,1,6,2,9,4,9,1,14,1,6,3,10,2,4,3,9
E5-F,E5,F,F,1,5,1,7,2,6,2,10,2,5,2,9,2,4,1,7,1,4,2,7,2,8,4,14,2,5,2,9,2,7,2,11,1,5,3,9,1,3,2,6,2,8,5,15,2,3,1,6,2,6,2,10,2,4,2,8,5,9,4,18,2,3,2,7,1,3,2,6,2,7,3,12,1,5,3,9,2,6,2,10
E5-I,E5,F,I,3,4,2,9,1,6,2,9,4,8,2,14,2,5,2,9,2,5,2,9,2,6,5,13,3,6,2,11,3,6,3,12,2,8,4,14,1,2,1,4,4,8,3,15,1,4,2,7,2,4,1,7,2,4,1,7,4,7,3,14,3,6,4,13,2,7,2,11,3,7,2,12,1,7,3,11,1,5,3,9
E5-S,E5,F,S,2,4,2,8,4,7,3,14,6,7,4,17,1,6,4,11,4,7,3,14,1,4,2,7,5,7,4,16,3,8,4,15,1,2,1,4,3,5,2,10,4,8,3,15,1,6,3,10,2,5,3,10,2,6,3,11,2,6,4,12,4,7,4,15,2,8,4,14,3,8,5,16,2,9,3,14,1,7,3,11
E6-N,E6,F,N,2,5,4,11,1,3,2,6,2,5,2,9,0,5,2,7,4,6,2,12,1,7,2,10,1,5,2,8,5,7,2,14,2,5,3,10,2,5,4,11,2,7,3,12,2,5,3,10,3,6,5,14,2,7,4,13,2,6,3,11,3,6,4,13,3,6,4,13,3,5,4,12,1,4,3,8,1,5,4,10
E6-F,E6,F,F,4,7,4,15,2,5,3,10,2,5,5,12,4,7,3,14,1,3,2,6,1,3,2,6,2,5,3,10,2,5,4,11,2,6,4,12,1,5,3,9,1,5,4,10,3,9,4,16,3,6,2,11,1,5,4,10,4,6,4,14,1,7,4,12,2,8,5,15,2,4,4,10,4,7,4,15,2,5,3,10
E6-I,E6,F,I,3,5,4,12,2,6,4,12,1,6,2,9,4,6,3,13,5,8,5,18,3,4,2,9,1,5,4,10,6,7,6,19,3,9,3,15,5,7,5,17,2,6,5,13,2,5,2,9,1,5,5,11,1,5,4,10,3,6,3,12,2,4,3,9,1,6,3,10,1,6,4,11,1,5,3,9,1,5,3,9
E6-S,E6,F,S,6,9,4,19,2,6,5,13,2,7,5,14,2,4,3,9,2,6,2,10,2,7,4,13,3,5,4,12,1,4,3,8,3,9,4,16,6,9,5,20,1,5,4,10,3,6,5,14,2,5,4,11,5,8,6,19,2,8,2,12,3,6,2,11,4,9,5,18,5,8,6,19,3,5,4,12,5,8,4,17
E7-N,E7,F,N,4,6,4,14,6,9,4,19,1,3,2,6,6,8,4,18,2,5,4,11,3,7,4,14,5,9,4,18,1,5,3,9,2,5,4,11,6,7,4,17,7,8,7,22,3,5,4,12,1,6,3,10,3,6,3,12,3,7,4,14,1,5,3,9,3,7,3,13,2,6,3,11,2,7,3,12,1,8,5,14
E7-F,E7,F,F,8,8,6,22,1,6,5,12,2,4,4,10,2,6,3,11,1,7,3,11,8,10,6,24,1,7,3,11,2,7,3,12,1,3,2,6,1,4,3,8,3,7,6,16,3,4,3,10,1,7,2,10,7,8,6,21,3,7,4,14,7,9,5,21,1,6,3,10,1,7,4,12,3,6,4,13,2,7,2,11
E7-I,E7,F,I,1,4,2,7,4,7,3,14,3,7,5,15,2,10,4,16,2,4,4,10,3,5,4,12,1,3,2,6,3,6,2,11,3,5,4,12,1,5,2,8,4,8,2,14,4,8,3,15,2,5,4,11,2,6,4,12,6,7,4,17,2,7,3,12,2,4,3,9,3,6,4,13,2,6,3,11,2,5,3,10
E7-S,E7,F,S,3,7,3,13,1,6,4,11,2,5,4,11,2,5,3,10,3,4,4,11,1,4,2,7,4,6,3,13,1,5,2,8,1,3,2,6,3,9,4,16,2,6,2,10,2,4,2,8,1,5,2,8,3,8,2,13,1,5,4,10,2,6,5,13,2,6,2,10,1,7,2,10,2,4,3,9,1,5,4,10
E9-N,E9,F,N,1,4,3,8,2,5,3,10,1,3,2,6,1,4,3,8,2,4,3,9,2,9,4,15,1,5,4,10,1,5,3,9,1,4,4,9,3,5,3,11,3,7,4,14,3,6,4,13,1,5,3,9,2,6,2,10,0,4,3,7,1,4,2,7,1,5,3,9,1,4,2,7,2,4,3,9,2,6,4,12
E9-F,E9,F,F,1,4,2,7,2,4,2,8,1,5,3,9,1,5,3,9,1,4,3,8,2,5,4,11,1,5,2,8,2,5,3,10,1,4,4,9,1,6,4,11,2,6,3,11,3,7,5,15,4,8,6,18,1,3,2,6,4,7,5,16,1,4,2,7,2,7,5,14,4,7,3,14,2,6,5,13,4,7,2,13
E9-I,E9,F,I,6,7,5,18,5,5,3,13,1,4,3,8,2,6,4,12,1,3,2,6,1,3,2,6,2,4,3,9,2,5,4,11,2,4,4,10,2,7,3,12,3,6,4,13,5,8,4,17,4,7,3,14,1,4,4,9,2,5,3,10,1,5,4,10,4,7,4,15,1,2,2,5,3,6,3,12,4,7,5,16
E9-S,E9,F,S,1,2,2,5,2,7,3,12,3,8,3,14,1,3,2,6,2,7,3,12,1,6,5,12,2,6,3,11,2,5,4,11,3,6,4,13,3,6,4,13,1,5,2,8,6,9,3,18,1,6,3,10,3,6,3,12,1,5,3,9,1,4,3,8,1,6,4,11,3,7,3,13,2,4,2,8,2,5,4,11